"","V1"
"sp0",0.00079577
"sp0",0.07843349
"sp0",0.00318307
"sp0",0.1022794
"sp1",0.0127307
"sp1",0.1945792
"sp1",0.0127307
"sp1",0.23246665
"sp2",0.00063662
"sp2",0.02483041
"sp2",6.366e-05
"sp2",0.00418067
"sp3",0.00212206
"sp3",0.02974557
"sp3",0.00318307
"sp3",0.0393207
"sp4",0.00212206
"sp4",0.02974557
"sp4",0.00318307
"sp4",0.0393207
"sp5",0.00636599
"sp5",0.17189939
"sp6",0.00424407
"sp6",0.29216313
"sp7",0.01818419
"sp7",0.22820339
"sp7",0.01157363
"sp7",0.28691424
"sp7",0.00909395
"sp7",0.4954113
"sp8",0.00021221
"sp8",0.04217535
"sp8",0.00031831
"sp8",0.06315283
