parameter,hierarchy,x,scale
predation.accessibility.anchovy.prey.sp1,gs,0.1,logit
predation.accessibility.anchovy.prey.sp2,gs,0.9,logit
predation.accessibility.anchovy.prey.sp3,gs,0.9,logit
predation.accessibility.anchovy.prey.sp4,gs,0.9,logit
predation.accessibility.anchovy.prey.sp5,gs,0.55,logit
predation.accessibility.anchovy.prey.sp6,gs,0.05,logit
predation.accessibility.anchovy.prey.sp7,gs,0.6,logit
predation.accessibility.anchovy.prey.sp8,gs,0.6,logit
predation.predPrey.sizeRatio.theta.sp0.stage1,gs,0.00079577,logit
predation.predPrey.sizeRatio.alpha.sp0.stage1,gs,0.07843349,logit
predation.predPrey.sizeRatio.theta.sp0.stage2,gs,0.00318307,logit
predation.predPrey.sizeRatio.alpha.sp0.stage2,gs,0.1022794,logit
predation.predPrey.stage.threshold.sp0,gs,0.51282051,logit
mortality.starvation.rate.max.sp0,gs,0.1,log
species.vonbertalanffy.threshold.age.sp0,gs,0.11666667,logit
species.egg.size.sp0,er,0.1,log
predation.efficiency.critical.sp0,er,0.57,logit
predation.ingestion.rate.max.sp0,er,3.5,log
mortality.natural.rate.sp0,mc,0.917730430133648,log
mortality.natural.larva.rate.Lx.sp0,mc,9.58211752,log
fishing.multiplier.sp0,mc,1,log
species.sexratio.sp0,hqd,0.5,logit
species.l0.sp0,hqd,0.10093505,log
species.K.sp0,hqd,0.76,log
species.lInf.sp0,hqd,19.5,log
species.maturity.size.sp0,hqd,0.57220512,logit
species.length2weight.condition.factor.sp0,hqd,0.0065,log
